producttype,productvariant,A1-A3, A4 ,A5 ,C1 ,C1/1 ,C1/2,C2 ,C2/1 ,C2/2,C3 ,C3/1 ,C3/2,C4 ,C4/1,C4/2, D ,D/1,D/2,(A1-C4),(A1-C4)/1,(A1-C4)/2
FLOOR and more®,FLOOR and more® G30 Vario,7.95E+00,3.52E-01,6.29E-01,0.00E+00,0.00E+00,4.56E-03,1.73E-01,3.28E-01,1.12E-01,0.00E+00,5.90E+00,4.38E+00,5.18E+00,3.74E-01,4.20E-01,-4.29E-01,-8.54E+00,-1.29E+01,1.43E+01,1.55E+01,1.38E+01
FLOOR and more®,FLOOR and more® G34,9.03E+00,3.99E-01,7.14E-01,0.00E+00,0.00E+00,5.18E-03,1.97E-01,3.72E-01,1.27E-01,0.00E+00,6.69E+00,4.97E+00,5.88E+00,4.25E-01,4.77E-01,-4.87E-01,-9.70E+00,-1.47E+01,1.62E+01,1.76E+01,1.57E+01
FLOOR and more®,FLOOR and more® G34 Vario,9.03E+00,3.99E-01,7.14E-01,0.00E+00,0.00E+00,5.18E-03,1.97E-01,3.72E-01,1.27E-01,0.00E+00,6.69E+00,4.97E+00,5.88E+00,4.25E-01,4.77E-01,-4.87E-01,-9.70E+00,-1.47E+01,1.62E+01,1.76E+01,1.57E+01
FLOOR and more®,FLOOR and more® Sofo. o.OBlg.,9.03E+00,3.99E-01,7.14E-01,0.00E+00,0.00E+00,5.18E-03,1.97E-01,3.72E-01,1.27E-01,0.00E+00,6.69E+00,4.97E+00,5.88E+00,4.25E-01,4.77E-01,-4.87E-01,-9.70E+00,-1.47E+01,1.62E+01,1.76E+01,1.57E+01
FLOOR and more®,FLOOR and more® G40,1.05E+01,4.62E-01,8.26E-01,0.00E+00,0.00E+00,6.00E-03,2.28E-01,4.31E-01,1.47E-01,0.00E+00,7.75E+00,5.76E+00,6.81E+00,4.92E-01,5.53E-01,-5.64E-01,-1.12E+01,-1.70E+01,1.88E+01,2.04E+01,1.82E+01
FLOOR and more®,FLOOR and more® G40 Vario,1.05E+01,4.62E-01,8.26E-01,0.00E+00,0.00E+00,6.00E-03,2.28E-01,4.31E-01,1.47E-01,0.00E+00,7.75E+00,5.76E+00,6.81E+00,4.92E-01,5.53E-01,-5.64E-01,-1.12E+01,-1.70E+01,1.88E+01,2.04E+01,1.82E+01
FLOOR and more®,FLOOR and more® G40 (FST AT),1.05E+01,4.62E-01,8.26E-01,0.00E+00,0.00E+00,6.00E-03,2.28E-01,4.31E-01,1.47E-01,0.00E+00,7.75E+00,5.76E+00,6.81E+00,4.92E-01,5.53E-01,-5.64E-01,-1.12E+01,-1.70E+01,1.88E+01,2.04E+01,1.82E+01
LOOP,Refurbished Raised floor panel Lindner LOOP prime and LOOP aurum (Representative Product),1.43E+00,4.88E-01,1.24E-01,3.46E-02,0.00E+00,0.00E+00,4.77E-01,4.77E-01,4.77E-01,8.14E-01,0.00E+00,1.56E+00,4.60E-02,8.42E-01,2.64E-02,-7.03E-02,-7.03E-02,-7.03E-02,3.41E+00,3.36E+00,4.10E+00
LOOP,LOOP prime R32,1.22E+00,4.17E-01,1.06E-01,2.96E-02,0.00E+00,0.00E+00,4.08E-01,4.08E-01,4.08E-01,6.96E-01,0.00E+00,1.33E+00,3.93E-02,7.20E-01,2.26E-02,-6.01E-02,-6.01E-02,-6.01E-02,2.91E+00,2.87E+00,3.51E+00
LOOP,LOOP aurum R32,1.21E+00,4.16E-01,1.05E-01,2.95E-02,0.00E+00,0.00E+00,4.07E-01,4.07E-01,4.07E-01,6.93E-01,0.00E+00,1.33E+00,3.92E-02,7.17E-01,2.25E-02,-5.99E-02,-5.99E-02,-5.99E-02,2.90E+00,2.86E+00,3.49E+00
LOOP,LOOP prime R33,1.24E+00,4.25E-01,1.08E-01,3.02E-02,0.00E+00,0.00E+00,4.16E-01,4.16E-01,4.16E-01,7.10E-01,0.00E+00,1.36E+00,4.01E-02,7.35E-01,2.30E-02,-6.13E-02,-6.13E-02,-6.13E-02,2.97E+00,2.93E+00,3.58E+00
LOOP,LOOP aurum R33,1.25E+00,4.28E-01,1.09E-01,3.04E-02,0.00E+00,0.00E+00,4.19E-01,4.19E-01,4.19E-01,7.14E-01,0.00E+00,1.37E+00,4.03E-02,7.39E-01,2.32E-02,-6.17E-02,-6.17E-02,-6.17E-02,2.99E+00,2.94E+00,3.60E+00
LOOP,LOOP prime R34,1.29E+00,4.42E-01,1.12E-01,3.14E-02,0.00E+00,0.00E+00,4.33E-01,4.33E-01,4.33E-01,7.38E-01,0.00E+00,1.41E+00,4.17E-02,7.63E-01,2.39E-02,-6.37E-02,-6.37E-02,-6.37E-02,3.09E+00,3.04E+00,3.72E+00
LOOP,LOOP aurum R34,1.28E+00,4.40E-01,1.12E-01,3.12E-02,0.00E+00,0.00E+00,4.30E-01,4.30E-01,4.30E-01,7.34E-01,0.00E+00,1.40E+00,4.14E-02,7.59E-01,2.38E-02,-6.33E-02,-6.33E-02,-6.33E-02,3.07E+00,3.02E+00,3.69E+00
